empresa,sucursal,horario_entrega,fatura_morada,zona_entrega,localidade,numero_caixas,peso_total,banana,maca,pera,laranja,kiwi,fruta_epoca,dias_entrega,notas
WIT SOFTWARE,,,,,,0,0,0,0,0,0,0,0,,Data inicio Excel: 2024.0
Correos Express SEDE,Porto,Ind,"R. de Santo Ovídio 21, 4425-379 Folgosa",Norte,Porto,1,196.0,30,15,10,10,5,28,Segunda|Quarta,"Data inicio Excel: 45859.0
Numero de entregas: 2"
Correos Express 2,Vila Real,Ind,"R. Dr. Manuel de Arriaga 1, 5000-105 Vila Real",Norte,Vila Real,1,20.0,6,2,4,2,2,4,Segunda,"Data inicio Excel: 45859.0
Numero de entregas: 1"
Correos Express 3,Viseu,Ind,"Vilar de Besteiros, 3465-192 Viseu",Centro,Viseu,1,10.0,4,1,2,1,2,2,Segunda,"Data inicio Excel: 45859.0
Numero de entregas: 1"
Correos Express 4,Aveiro,Ind,"Rua Augusto Marques Branco 4, 3810-783 Aveiro",Centro,Aveiro,1,22.0,6,2,2,2,2,8,Segunda,"Data inicio Excel: 45859.0
Numero de entregas: 1"
Correos Express 5,Leiria,Ind,"R. do Pinhalzinho 705, Quintas do Sirol, 2420-348 Leiria",Centro,Leiria,1,28.0,6,4,4,2,2,8,Segunda,"Data inicio Excel: 45859.0
Numero de entregas: 1"
Correos Express 6,Alcochete,Ind,"R. do Montinhoso armazém 2 Zona 2, 2955-245 Pinhal Novo",LX,Alcochete,1,26.0,6,4,2,2,2,8,Segunda,"Data inicio Excel: 45859.0
Numero de entregas: 1"
Correos Express 7,Evora,Ind,"Mercado Abastecedor da Região de Évora Armazém G6, G21, 7005-873 Évora",Sul,Evora,1,8.0,2,1,2,1,1,2,Segunda,"Data inicio Excel: 45859.0
Numero de entregas: 1"
Correos Express 8,Lisboa,Ind,"Rua Marinhas do Tejo 164D, 2625-090 Póvoa de Santa Iria",LX,Lisboa,1,124.0,20,10,10,5,5,12,Segunda|Quarta,"Data inicio Excel: 45859.0
Numero de entregas: 2"
Correos Express 9,Faro,Ind,"MARF - Edifício 3.8 Guelhim-Estoi, 8005-489 Faro",Sul,Faro,1,14.0,0,0,0,0,0,0,Segunda,"Data inicio Excel: 45859.0
Numero de entregas: 1"
Correos Express 10,Braga,Ind,"Rua do Pq. Industrial 15, 4705-395 Braga",Norte,Braga,1,30.0,0,0,0,0,0,0,Segunda,"Data inicio Excel: 45859.0
Numero de entregas: 1"
Correos Express 11,Covilhã,ind,"Parque Industrial do Tortosendo, R. H 72 B, 6200-823 Tortosendo",Norte,Covilhã,1,6.0,0,0,0,0,0,0,,
